period,position,final_seniority,final_salary,frequency
2017_H2,Data Scientist / Data Analyst,0.25,300 nan nan,1
2017_H2,Data Scientist / Data Analyst,меньше 3 месяцев,400 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,3000 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,500 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,1000 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,2800 nan nan,1
2017_H2,Data Scientist / Data Analyst,1.5,1200 nan nan,1
2018_H1,Data Scientist / Data Analyst,10 и более лет,1000 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,4400 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.25,2600 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.25,700 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,2400 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.5,4500 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,2200 nan nan,1
2018_H1,Data Scientist / Data Analyst,2,2000 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,950 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,700 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,3050 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,2800 nan nan,1
2018_H1,Data Scientist / Data Analyst,2,4500 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.5,600 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,250 nan nan,1
2018_H1,Data Scientist / Data Analyst,4,3000 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,2100 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,2700 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,3000 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,2000 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,800 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1863 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,2340 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,5000 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,1500 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.25,650 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.5,2300 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,1500 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,3500 nan nan,1
2018_H1,Data Scientist / Data Analyst,2,1100 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.5,300 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.25,800 nan nan,1
2018_H1,Data Scientist / Data Analyst,0.5,1500 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,500 nan nan,1
2018_H1,Data Scientist / Data Analyst,1,2800 nan nan,1
2018_H1,Data Scientist / Data Analyst,1.5,1200 nan nan,1
2018_H1,Data Scientist / Data Analyst,меньше 3 месяцев,250 nan nan,1
